file,annotations,avg_confidence,sast_risks,ml_signals,best_practices,high_severity,medium_severity,low_severity
selector,136,0.7132,0,0,0,0,0,16
stats,111,0.6532,0,0,0,0,0,10
utils,45,0.7444,0,0,0,0,1,5
__init__,1,1.0,0,0,0,0,0,0
generator,8,0.625,0,0,0,0,0,3
__init__,6,0.6667,0,0,0,0,0,0
__init__,1,0.5,0,0,0,0,0,0
query_models,15,0.7,0,0,0,0,0,1
trading_models,16,0.75,0,0,0,0,0,0
__init__,0,0.0,0,0,0,0,0,0
api,131,0.7595,0,0,0,2,15,20
base_service,44,0.7273,0,0,0,0,3,4
context,3,0.6667,0,0,0,0,0,0
data_type,11,0.7727,0,0,0,0,1,2
drawer,151,0.6854,0,0,0,0,0,14
factor,197,0.731,0,0,0,0,4,13
model,10,0.7,0,0,0,0,0,1
normal_data,18,0.9167,0,0,0,0,0,0
reader,46,0.7283,0,0,0,0,2,5
recorder,130,0.7231,0,0,0,2,7,15
register,13,0.7692,0,0,0,0,1,3
schema,145,0.6931,0,0,0,1,0,19
utils,29,0.6207,0,0,0,0,0,0
zvt_info,13,0.5385,0,0,0,0,0,0
__init__,80,0.7875,0,0,0,0,0,4
__init__,33,0.7576,0,0,0,0,0,14
algorithm,121,0.6777,0,0,0,0,0,10
factor_models,15,0.7,0,0,0,0,0,1
factor_service,18,0.6667,0,0,0,0,1,1
shape,77,0.7403,0,0,0,0,0,19
target_selector,62,0.7581,0,0,0,0,0,7
technical_factor,24,0.6458,0,0,0,0,0,2
top_stocks,79,0.7152,0,0,0,0,1,17
transformers,43,0.7326,0,0,0,0,0,2
__init__,24,0.5,0,0,0,0,0,0
informer,61,0.6393,0,0,0,0,6,16
inform_utils,25,0.78,0,0,0,0,7,1
__init__,4,0.625,0,0,0,0,0,1
constants,3,0.6667,0,0,0,0,0,0
misc_models,5,0.7,0,0,0,0,0,0
misc_service,11,0.9091,0,0,0,0,0,1
zhdate,67,0.8134,0,0,0,0,0,17
__init__,1,0.5,0,0,0,0,0,0
lables,6,0.8333,0,0,0,0,0,0
ml,99,0.6919,0,0,0,0,0,15
__init__,6,0.8333,0,0,0,0,2,0
consts,5,0.6,0,0,0,0,0,4
__init__,37,0.8108,0,0,0,0,0,0
data,8,0.75,0,0,0,0,1,0
factor,9,0.7222,0,0,0,0,0,1
misc,6,0.75,0,0,0,0,0,1
trading,37,0.6757,0,0,0,0,1,4
work,99,0.697,0,0,0,0,1,20
stock_traders,11,0.5909,0,0,0,0,0,0
__init__,2,0.75,0,0,0,0,1,0
sched,14,0.7143,0,0,0,0,0,5
ai_suggestion,40,0.6625,0,0,0,0,3,7
common,10,0.8,0,0,0,0,0,0
tagger,20,0.625,0,0,0,0,0,2
tag_models,138,0.7536,0,0,0,0,0,4
tag_schemas,66,0.5833,0,0,0,0,0,11
tag_service,205,0.6927,0,0,0,0,8,35
tag_stats,27,0.7963,0,0,0,0,1,7
tag_utils,132,0.7235,0,0,0,0,3,12
__init__,1,1.0,0,0,0,0,0,0
init_tag_system,10,1.0,0,0,0,0,0,3
qmt_data_runner,17,0.8235,0,0,0,0,1,1
qmt_tick_runner,6,0.5833,0,0,0,0,0,1
stock_pool_runner,28,0.8036,0,0,0,0,1,7
today_shoot_runner,11,0.6364,0,0,0,0,0,4
today_top_runner,4,0.625,0,0,0,0,0,1
errors,16,0.8438,0,0,0,0,0,0
sim_account,135,0.7444,0,0,0,0,9,20
trader,145,0.7276,0,0,0,0,4,7
trader_info_api,44,0.6477,0,0,0,0,1,6
trader_models,22,0.7273,0,0,0,0,0,0
trader_schemas,47,0.5426,0,0,0,0,0,0
__init__,52,0.7019,0,0,0,0,3,7
common,5,0.7,0,0,0,0,0,0
trading_models,98,0.7143,0,0,0,0,0,6
trading_schemas,30,0.8167,0,0,0,0,0,2
trading_service,134,0.694,0,0,0,1,2,12
__init__,1,0.5,0,0,0,0,0,0
__init__,4,0.875,0,0,0,0,0,0
decorator,6,0.6667,0,0,0,0,0,0
file_utils,9,0.5,0,0,0,0,0,1
